LossAfter,IRLMedianLogQtau,ExplainedVariance,IRLLoss,ItrTime,NumTrajs,AverageDiscountedReturn,LossBefore,AveragePolicyStd,IRLAverageExpertEnergy,IRLAverageEnergy,Time,MeanKLBefore,EnvExecTime,AverageReturn,Iteration,MaxReturn,OriginalTaskAverageReturn,IRLRewardMean,IRLRewardMax,Entropy,dLoss,Perplexity,IRLMedianExpertLogQtau,IRLAverageExpertLogQtau,PolicyExecTime,IRLRewardMin,MeanKL,StdReturn,IRLAverageLogQtau,MinReturn,ProcessExecTime
-0.024940254166722298,0.3175159,0.8838077957619994,0.4604816,0.6414368152618408,10,-78.1487025680133,0.004498239140957594,0.23132752,0.80040413,1.0565592,562.2422280311584,0.0,0.03428339958190918,-105.6559207379818,828,-82.33038875460625,-194.30757101644457,-1.0565592,0.01600355,-0.044982433,0.02943849330767989,0.9560143,-2.46165,-7.648842,0.04270219802856445,-4.3273225,0.009946039877831936,17.5605343184616,0.028424524,-144.3167149424553,0.005925416946411133
-0.033010296523571014,0.3145467,0.8854775758958936,0.43054572,0.729109525680542,10,-70.9471852691969,0.004307849798351526,0.23176835,0.78148884,0.95846707,562.9794549942017,0.0,0.03642868995666504,-95.84670915454626,829,-47.745455995202065,-154.38039343218117,-0.95846707,0.099433616,-0.043078545,0.03731814632192254,0.95783615,-2.4543445,-7.704072,0.04984307289123535,-4.7194643,0.00663006491959095,25.485905295496394,0.06459191,-133.8372133821249,0.00603938102722168
-0.020519565790891647,0.3158173,0.8321985896934445,0.43029824,0.637847900390625,10,-72.10254511851865,0.005569541826844215,0.22886246,0.7835425,1.0086548,563.6250047683716,0.0,0.03445625305175781,-100.86548452079296,830,-65.27066481113434,-166.4137344093326,-1.0086548,0.07238802,-0.055695657,0.026089107617735863,0.94582695,-2.5248067,-7.87383,0.042409658432006836,-4.6835938,0.006693390663713217,20.40627189743305,0.05298808,-140.3291843533516,0.005897998809814453
-0.01041360292583704,0.35127914,0.5419771350516368,0.43705976,0.6496827602386475,10,-69.88940200137456,0.007185581140220165,0.22519372,0.6847897,0.9914127,564.2819809913635,0.0,0.034368038177490234,-99.14126962721348,831,-36.773732632398605,-170.95389634398072,-0.9914127,0.62649727,-0.071855895,0.017599184066057205,0.930665,-2.6066847,-8.130516,0.04591536521911621,-3.6972735,0.006574589759111404,42.294972095455286,0.09331404,-166.19503009319305,0.005767107009887695
-0.03970274329185486,0.35927165,0.8256711224071769,0.44679287,0.6866633892059326,10,-65.53126534667582,0.008341669104993343,0.22260524,0.7618105,0.92374265,564.9771778583527,0.0,0.0365138053894043,-92.37426799982786,832,-58.11454564332962,-142.7568537797574,-0.92374265,0.22025909,-0.0834167,0.0480444123968482,0.9199677,-2.676467,-8.33133,0.043744802474975586,-3.5266683,0.009598157368600368,18.846362524551793,0.050147064,-117.8427599966526,0.005842924118041992
-0.061785873025655746,0.3457399,0.9326569963136053,0.44364205,0.6374831199645996,10,-70.2509602004897,0.006406474858522415,0.22695498,0.930702,1.0135491,565.6228213310242,0.0,0.033132314682006836,-101.35490997433662,833,-80.27075362205505,-108.41558792177811,-1.0135491,-0.21946378,-0.06406474,0.06819234788417816,0.9379443,-2.5739083,-8.054277,0.04074692726135254,-4.2916136,0.009858382865786552,10.017625948892784,0.0652225,-116.36855961382389,0.005817413330078125
-0.030762149021029472,0.3076523,0.8142027230614043,0.45931426,0.6647484302520752,10,-77.30949872914441,0.005425452254712582,0.22919253,0.82104737,1.0796194,566.3013164997101,0.0,0.033718109130859375,-107.96193859875203,834,-79.46844425797462,-170.93300751228855,-1.0796194,0.24835604,-0.05425441,0.036187601275742054,0.9471911,-2.5428684,-8.1054535,0.05305171012878418,-5.3876877,0.009495353326201439,19.72219243516536,0.019525988,-138.42928820848465,0.00550532341003418
-0.028490133583545685,0.26862103,0.8903819142200039,0.4463123,0.7139434814453125,10,-77.6522558967901,0.00412965752184391,0.23218161,0.7924198,1.077284,567.0234007835388,0.0,0.03547406196594238,-107.72839093506336,835,-95.07798427343369,-160.40483001121487,-1.077284,0.25057814,-0.041296724,0.032619791105389595,0.95954436,-2.478587,-7.9195213,0.04588961601257324,-4.359254,0.009476319886744022,18.295590247827406,-0.008546964,-156.5434658229351,0.005886077880859375
-0.02474994957447052,0.29133704,0.8860669868849371,0.42098027,0.635892391204834,10,-81.36739142093174,0.00444077979773283,0.23146051,0.8518736,1.107305,567.6686842441559,0.0,0.03258085250854492,-110.73050187528133,836,-84.77234001457691,-168.69480764098643,-1.107305,0.14695622,-0.04440772,0.02919072937220335,0.9565639,-2.4876266,-7.978306,0.04043459892272949,-4.1603503,0.009814249351620674,16.0203929199979,0.012534727,-149.65533722937107,0.005980730056762695
-0.01769058220088482,0.2902819,0.7978894756721218,0.441986,0.669532060623169,10,-85.74013398619888,0.0037550146225839853,0.23305319,0.8590248,1.1726882,568.3460443019867,0.0,0.03678321838378906,-117.2688151359558,837,-79.2883814573288,-197.44487835435766,-1.1726882,0.054229945,-0.037550095,0.021445596823468804,0.96314615,-2.4621515,-7.958946,0.04715609550476074,-5.871202,0.006494245491921902,28.45974530780349,0.013043215,-159.0967077612877,0.00644373893737793
