Iteration,IRLRewardMax,EnvExecTime,ProcessExecTime,AbsLearnSignal,LossBefore,MeanKLBefore,MeanKL,Time,IRLMedianLogQtau,IRLAverageExpertEnergy,AveragePolicyStd,ExplainedVariance,AverageReturn,Entropy,AverageDiscountedReturn,IRLAverageLogQtau,Perplexity,MinReturn,IRLAverageExpertLogQtau,LossAfter,OriginalTaskAverageReturn,IRLAverageEnergy,StdReturn,dLoss,IRLRewardMean,PolicyExecTime,IRLLoss,MaxReturn,IRLRewardMin,ItrTime,IRLMedianExpertLogQtau,NumTrajs
40,1.2235548,0.02512383460998535,0.005236387252807617,0.8759780985782447,-0.110977195,0.0,0.0073693856,57.74860906600952,-0.82117844,-0.24935812,0.7340585,0.8609137046520341,-239.3863491848111,1.1097718,-153.8629696507133,-1.0947449,3.0336661,-271.2936564683914,-2.3650048,-0.12903136,-594.9291609673853,2.3938632,29.338127244934263,0.018054165,-2.3938632,0.0499417781829834,0.36730343,-183.09339356422424,-4.114466,1.409456729888916,-1.3611062,10
41,1.9355471,0.02729511260986328,0.0052967071533203125,0.7023226783140112,-0.1120243,0.0,0.008374094,59.17261505126953,-0.8712293,0.04389903,0.7417851,0.9218725293103387,-226.8800049249083,1.120243,-143.68781371429378,-1.1542312,3.065599,-251.1230273246765,-2.3091316,-0.13917567,-584.9681431392289,2.2688,18.48821900753465,0.027151369,-2.2688,0.05612444877624512,0.41003075,-191.11444372311234,-4.4377995,1.4178743362426758,-1.3424175,10
42,1.6915232,0.028254270553588867,0.00523686408996582,0.817611903659138,-0.1103423,0.0,0.0066175275,60.572484493255615,-0.8654038,-0.23121959,0.72941285,0.9112504001212017,-241.98487205207348,1.1034231,-151.72049918164498,-1.1460832,3.0144672,-287.16720843315125,-2.3096247,-0.12935513,-560.0394800944638,2.4198487,31.522441481822288,0.019012831,-2.4198487,0.05374717712402344,0.38739324,-186.4762516990304,-3.9906435,1.393897533416748,-1.3189871,10
43,0.6082881,0.02629852294921875,0.0046999454498291016,0.7269002505357123,-0.1099296,0.0,0.0063682455,61.9893479347229,-0.8047964,-0.958524,0.72640884,0.8092366826080509,-230.29964537024497,1.0992963,-144.33508461402843,-1.0948284,3.0020528,-265.20949923992157,-2.3166227,-0.13133703,-631.827848158676,2.3029964,18.97184730674584,0.021407433,-2.3029964,0.05326986312866211,0.36930674,-204.66113644838333,-3.5575686,1.4109501838684082,-1.3166927,10
44,1.6603643,0.027896642684936523,0.0050792694091796875,0.7016701104093428,-0.11043344,0.0,0.0060074264,63.43862318992615,-0.8340353,0.19852732,0.7300778,0.9308627010159604,-224.01972381286322,1.1043342,-143.40715531556074,-1.1008022,3.017215,-244.0575075149536,-2.357244,-0.12949838,-585.3439571818816,2.2401972,17.23246944115136,0.01906494,-2.2401972,0.05656790733337402,0.4009296,-191.8507771641016,-4.777663,1.4434421062469482,-1.345254,10
45,0.5302003,0.02567458152770996,0.0051364898681640625,0.8112785753445381,-0.10965763,0.0,0.006105076,64.89595890045166,-0.83398503,-0.89881015,0.7244358,0.904887159046491,-265.12505541443824,1.0965765,-167.89095515017206,-1.1284642,2.9938986,-291.98868131637573,-2.4182293,-0.13488641,-640.2776389424117,2.6512506,29.30305072264197,0.025228783,-2.6512506,0.05385923385620117,0.33752045,-193.99133336544037,-4.4773326,1.4517905712127686,-1.3783965,10
46,1.1556802,0.02730870246887207,0.005257844924926758,0.6597730429578144,-0.108775236,0.0,0.0073809754,66.38442158699036,-0.78122306,0.39817128,0.71807134,0.77044891328602,-241.81618207097054,1.0877523,-157.80855762683618,-1.05588,2.9675965,-284.7188777923584,-2.3623917,-0.1323867,-593.8823446267127,2.4181619,47.00951217241372,0.023611464,-2.4181619,0.05705428123474121,0.3964849,-117.81879189610481,-5.1255703,1.4822962284088135,-1.3165011,10
47,1.7788278,0.031342267990112305,0.006674766540527344,0.7608963450018299,-0.10745861,0.0,0.009105271,67.84197568893433,-0.7995951,-0.14183532,0.7086792,0.8626072125019,-231.30660134702921,1.0745859,-148.31417791770122,-1.0763531,2.9287798,-284.73501443862915,-2.5157537,-0.12739168,-593.131352259736,2.313066,32.86895666025619,0.019933075,-2.313066,0.06192970275878906,0.3901608,-174.82387997210026,-5.08723,1.4508590698242188,-1.3955998,10
48,2.3298101,0.024615764617919922,0.0048770904541015625,0.8773590265494201,-0.108299635,0.0,0.006893711,69.2389166355133,-0.8139529,-0.33450934,0.7146646,0.8915363702251479,-252.44507039189338,1.0829965,-157.5547688034062,-1.1037378,2.9535165,-284.5625615119934,-2.3428717,-0.12549882,-581.3169119867227,2.5244508,25.54950625907263,0.017199181,-2.5244508,0.052213430404663086,0.38253257,-214.45227280259132,-4.6198483,1.3916363716125488,-1.2718503,10
49,3.0864937,0.028128385543823242,0.005033016204833984,0.8445481798081615,-0.10575468,0.0,0.007039891,70.6347770690918,-0.7508179,-0.49805656,0.6967061,0.8625320668693228,-230.8096027597785,1.0575466,-144.85977136704457,-1.0196689,2.8792982,-282.4656766653061,-2.3726196,-0.13214815,-577.4016714410416,2.308096,26.580608612612686,0.026393466,-2.308096,0.053305864334106445,0.36129367,-174.18724513053894,-4.0829654,1.3895113468170166,-1.2540755,10
