AverageDiscountedReturn,AveragePolicyStd,AbsLearnSignal,Time,Perplexity,MeanKLBefore,Entropy,AverageReturn,StdReturn,Iteration,LossAfter,LossBefore,dLoss,ProcessExecTime,PolicyExecTime,EnvExecTime,ExplainedVariance,OriginalTaskAverageReturn,NumTrajs,MinReturn,IRLLoss,MeanKL,MaxReturn,ItrTime
-437.02057143246446,0.9874642,0.9036095406286904,1542.206999540329,16.651804,0.0,2.8125186,-640.3066490888596,0.0,78,-0.041616693,3.1789146e-08,0.041616727,0.0016760826110839844,0.10471391677856445,12.755009889602661,-2.7325536201406115,8.905729742903832,1,-640.3066490888596,0.10375594,0.009871425,-640.3066490888596,17.874971389770508
-328.93010050329826,0.97899425,0.8650475856085844,1560.519474029541,16.36592,0.0,2.795201,-485.3328479528427,0.0,79,-0.03466412,3.1789146e-08,0.034664154,0.0015969276428222656,0.12009811401367188,13.177139043807983,0.8935823682211276,11.308735858910106,1,-485.3328479528427,0.15300341,0.0065326532,-485.3328479528427,18.308573007583618
-159.43309230223292,0.9810139,0.7116009356688635,1591.1233050823212,16.435968,0.0,2.799472,-244.60341981053352,47.229853838682175,80,-0.04277119,-3.3462257e-08,0.042771157,0.003092527389526367,0.22160673141479492,25.382486820220947,-3.663350094776664,12.865512688822854,2,-291.8332736492157,0.45385364,0.0073640146,-197.37356597185135,30.59790015220642
-151.80017575251966,0.97556305,0.7957866157026369,1620.8448960781097,16.25411,0.0,2.7883458,-205.55928993225098,15.28546553850174,81,-0.045691837,-9.082613e-09,0.04569183,0.0028183460235595703,0.19481706619262695,24.30361008644104,-13.297721030113257,11.197811004013737,2,-220.84475547075272,0.2672439,0.008356474,-190.27382439374924,29.717708826065063
-446.5873217143162,0.97439665,0.8242620202490053,1638.6257877349854,16.215816,0.0,2.7859871,-657.9121729135513,0.0,82,-0.07705523,-0.0,0.07705523,0.0016069412231445312,0.09517550468444824,12.643917083740234,-3.2491856701999184,8.402379026422668,1,-657.9121729135513,0.06497354,0.0066852095,-657.9121729135513,17.77677822113037
nan,0.97192734,nan,1656.2515358924866,16.133188,0.0,2.7808785,nan,nan,83,nan,nan,nan,0.0017199516296386719,0.09581780433654785,12.411554098129272,nan,nan,1,nan,0.008540853,0.0,nan,17.62149977684021
nan,0.97192734,nan,1687.2369079589844,16.13318,0.0,2.780878,nan,nan,84,nan,nan,nan,0.0031037330627441406,0.21210002899169922,25.68320107460022,nan,nan,2,nan,0.3128593,0.0,nan,30.979637145996094
-164.33400390689735,0.9719275,nan,1713.0272145271301,16.133188,0.0,2.7808785,-216.24067330360413,35.012930274009705,85,nan,nan,nan,0.0021431446075439453,0.1372814178466797,20.453032732009888,nan,7.459969932265853,2,-251.25360357761383,0.31583714,0.0,-181.22774302959442,25.786449432373047
-518.2099906604079,0.97192734,0.8298484257307547,1731.2650611400604,16.133188,0.0,2.7808785,-749.9535481929779,0.0,86,-0.08778432,-3.1789146e-08,0.08778429,0.0016703605651855469,0.10682821273803711,12.979521989822388,0.8005610315717074,9.317305070800563,1,-749.9535481929779,0.096296616,0.009342889,-749.9535481929779,18.23397707939148
-371.68687816533696,0.9868217,0.8015496296842659,1761.8954470157623,16.627977,0.0,2.8110867,-538.2126284241676,145.46580439805984,87,-0.07931704,3.260425e-08,0.07931707,0.0031702518463134766,0.20376801490783691,25.36850643157959,-9.81156662687805,10.654427767758115,2,-683.6784328222275,0.11202609,0.0072335284,-392.7468240261078,30.626226902008057
-358.5426669345488,0.98503315,0.8536906136370822,1780.0689210891724,16.56684,0.0,2.807403,-542.1361153721809,0.0,88,-0.06637671,4.7683717e-08,0.06637675,0.0017094612121582031,0.10831856727600098,12.99952745437622,0.009193853946523056,10.160302002004759,1,-542.1361153721809,0.10327483,0.009608438,-542.1361153721809,18.169307947158813
nan,0.98300785,nan,1798.2459576129913,16.498055,0.0,2.8032424,nan,nan,89,nan,nan,nan,0.0016663074493408203,0.10402846336364746,12.965330839157104,nan,nan,1,nan,0.18629,0.0,nan,18.17055606842041
