AbsLearnSignal,ItrTime,Time,MeanKL,Entropy,Iteration,LossAfter,NumTrajs,MaxReturn,ProcessExecTime,EnvExecTime,AveragePolicyStd,MinReturn,AverageReturn,LossBefore,PolicyExecTime,dLoss,StdReturn,Perplexity,AverageDiscountedReturn,ExplainedVariance,MeanKLBefore
0.8496283411,31.8344640732,1633.4534549713,0.009819247,2.8690052,52,-0.07477754,2,-376.9514890221,0.0024390221,26.5457131863,1.0215282,-399.0368022481,-387.9941456351,-0.000000018,0.1129276752,0.07477753,11.042656613,17.619482,-308.2139903576,0.8634142807,0
0.7830495695,25.8925123215,1659.3874535561,0.008413179,2.871917,53,-0.033146933,1,-895.9497739121,0.0023028851,20.763974905,1.025722,-895.9497739121,-895.9497739121,-1.9073486E-08,0.101849556,0.033146914,0,17.67086,-559.1597298227,0.0690246377,0
0.7084303681,39.5902314186,1699.0194215775,0.007964701,2.871704,54,-0.04183236,2,-301.336797115,0.0035290718,34.3104052544,1.0256791,-805.6589864132,-553.4978917641,-2.5096693E-08,0.1617305279,0.041832335,252.1610946491,17.667099,-376.8847988034,0.0995130482,0
0.7828362594,26.0035352707,1725.0660307407,0.009581005,2.870525,55,-0.076530926,1,-676.5532270185,0.0021293163,20.798304081,1.028123,-676.5532270185,-676.5532270185,9.536743E-09,0.1019368172,0.07653093,0,17.646278,-443.0741225293,0.3329236559,0
0.7212889645,26.0751655102,1751.1844372749,0.0060624857,2.877046,56,-0.038528875,1,-657.4907128507,0.0022470951,20.9850740433,1.0308603,-657.4907128507,-657.4907128507,-2.3841858E-08,0.1018640995,0.038528852,0,17.76173,-429.511509808,0.9917995177,0
0.8659125464,27.4175438881,1778.6426019669,0.0001513906,2.8747625,57,-0.0001528883,1,-938.4210642534,0.0021550655,22.1845474243,1.0291617,-938.4210642534,-938.4210642534,9.536743E-09,0.1135821342,0.0001528978,0,17.721216,-595.2487017259,0.8956698585,0
0.8328305947,26.2037467957,1804.8880500794,0.008187133,2.8750641,58,-0.02390525,1,-589.0776307109,0.0022826195,21.0354309082,1.0297393,-589.0776307109,-589.0776307109,-1.9073486E-08,0.1084649563,0.02390523,0,17.72656,-389.7021045223,-6.6313443007,0
0.8889025311,26.2245163918,1831.1560838223,0.009724368,2.8714678,59,-0.09348502,1,-621.5641069698,0.0021533966,21.0675888062,1.0278221,-621.5641069698,-621.5641069698,3.33786E-08,0.0986380577,0.09348505,0,17.662926,-405.1423086563,0.9869601274,0
0.7783136482,31.9682869911,1863.1653060913,0.009282287,2.8373647,60,-0.084434345,2,-337.5955700601,0.0023713112,26.8305177689,1.0098217,-467.6637141841,-402.6296421221,-3.4863096E-08,0.1162810326,0.08443431,65.034072062,17.070719,-318.4610335417,-2.2636617888,0
0.9301727703,25.8829298019,1889.0894362927,0.0070481654,2.8292234,61,-0.038862772,1,-668.3485092689,0.0021390915,20.7636520863,1.0086274,-668.3485092689,-668.3485092689,2.8610229E-08,0.1004946232,0.038862802,0,16.932306,-431.1249056352,0.4908293225,0
0.8283121589,25.9945950508,1915.1264541149,0.008805912,2.8276403,62,-0.04447201,1,-766.2049074135,0.0021619797,20.8303818703,1.0079751,-766.2049074135,-766.2049074135,0,0.1108739376,0.04447201,0,16.905521,-494.4520061813,0.96850791,0
0.8729079283,31.7341797352,1946.9029688835,0.00983088,2.823435,63,-0.07723303,2,-314.9062711683,0.0024209023,26.626670599,1.0057819,-470.5917005918,-392.74898588,0,0.1120126247,0.07723303,77.8427147118,16.83458,-308.5205318353,0.836485637,0
0.8077748923,39.118032217,1986.0628108978,0.0096960785,2.8351855,64,-0.012022495,2,-381.1066877452,0.003246069,33.9643404484,1.0131031,-711.2923654095,-546.1995265773,0,0.1584429741,0.012022495,165.0928388321,17.03356,-377.750649951,-0.958596717,0
0.7711407972,26.015873909,2012.1307575703,0.008856777,2.8338876,65,-0.036292367,1,-705.1581857132,0.0024333,20.7735464573,1.011632,-705.1581857132,-705.1581857132,-0.000000037,0.1024711132,0.03629233,0,17.011465,-456.4190808383,-15.0333680789,0
0.7932587353,25.9742248058,2038.1465406418,0.00794741,2.8352287,66,-0.053377748,1,-648.5788434713,0.002320528,20.7839837074,1.0117712,-648.5788434713,-648.5788434713,3.33786E-08,0.1091446877,0.05337778,0,17.034296,-430.0919923636,0.9506793137,0
0.8636675214,39.1300837994,2077.3191161156,0.009732733,2.812607,67,-0.06440376,2,-466.6976338853,0.0033714771,33.8273770809,0.9993097,-894.9339130118,-680.8157734486,-2.5096693E-08,0.1590363979,0.064403735,214.1181395633,16.653278,-461.9644400694,0.2124893201,0
0.7371973561,25.8940989971,2103.2626349926,0.006430455,2.8030767,68,-0.055202335,1,-918.5716575496,0.0021438599,20.7084171772,0.99821943,-918.5716575496,-918.5716575496,1.9073486E-08,0.1008279324,0.055202354,0,16.495321,-567.2806523068,0.9666974869,0
0.8695392224,38.7921426296,2142.109102726,0.009505926,2.8184035,69,-0.057916734,2,-286.1346891717,0.0032348633,33.4771952629,1.0046332,-618.7265715235,-452.4306303476,6.532016E-09,0.1524350643,0.05791674,166.2959411759,16.750088,-326.4357259817,0.5877640803,0
0.9190167617,39.2501928806,2181.4001560211,0.007275992,2.8158722,70,-0.052306402,2,-380.7550340743,0.0033357143,33.9808523655,1.0034049,-760.4517995226,-570.6034167984,4.421007E-08,0.1587715149,0.052306447,189.8483827241,16.707743,-398.5349959964,-0.5977865308,0
0.8666618969,25.8723158836,2207.3214120865,0.0068810163,2.7945237,71,-0.058953647,1,-912.0701917659,0.0022032261,20.6561825275,0.9949587,-912.0701917659,-912.0701917659,4.7683717E-08,0.0998809338,0.058953695,0,16.354837,-564.6756875542,0.3990287054,0
0.8377093142,25.9667134285,2233.3289046288,0.009585955,2.7973394,72,-0.024504786,1,-555.928152516,0.0021624565,20.880420208,0.9956717,-555.928152516,-555.928152516,2.3841858E-08,0.1008694172,0.02450481,0,16.400953,-371.9932348884,0.3046764289,0
0.7943642557,26.143368721,2259.5135917664,0.009777004,2.8011148,73,-0.06636886,1,-614.0048521138,0.0021905899,21.0031514168,1.00095,-614.0048521138,-614.0048521138,-3.8146972E-08,0.0979382992,0.066368826,0,16.46299,-401.25158598,0.9854091048,0
0.7901477683,39.5019977093,2299.0571775436,0.0064708753,2.8078363,74,-0.054361317,2,-398.9423602332,0.003336668,34.3098294735,1.0061891,-565.6862570863,-482.3143086598,-1.2466331E-08,0.1605987549,0.054361306,83.3719484265,16.574018,-348.7337426054,0.575681227,0
0.8579888343,25.882376194,2324.9814894199,0.007657025,2.7855523,75,-0.036535982,1,-758.8840935147,0.0022177696,20.7058427334,0.9973278,-758.8840935147,-758.8840935147,2.3841858E-08,0.0982429981,0.036536004,0,16.208767,-475.862958338,0.8637110012,0
0.7978946162,25.8446881771,2350.8801450729,0.0065883524,2.7919834,76,-0.06924503,1,-702.4213290249,0.0021796227,20.7426202297,0.9989981,-702.4213290249,-702.4213290249,-1.9073486E-08,0.097641468,0.06924501,0,16.313343,-443.1395648459,0.9921332772,0
0.9100101278,25.811555624,2376.7392446995,0.00981629,2.7881918,77,-0.05388337,1,-809.7703045357,0.0022087097,20.7258431911,0.9940924,-809.7703045357,-809.7703045357,9.536743E-09,0.1002390385,0.05388338,0,16.251608,-513.1805831308,0.9846771885,0
0.8545768425,26.0137643814,2402.7963943482,0.009110752,2.8126414,78,-0.033526734,1,-553.7675398475,0.0021128654,20.9239647388,1.0059192,-553.7675398475,-553.7675398475,0,0.1042892933,0.033526734,0,16.653849,-370.6217700629,0.8619890115,0
0.7633889746,31.7330667973,2434.575375557,0.006558828,2.8004563,79,-0.085486785,2,-353.5738475982,0.0024394989,26.6585011482,1.0014995,-448.7570101228,-401.1654288605,0,0.1071817875,0.085486785,47.5915812623,16.452152,-314.5900786773,0.8645360407,0
0.8757601818,25.8236427307,2460.4403905869,0.009431613,2.7957582,80,-0.04018608,1,-875.3616599198,0.002158165,20.6506295204,0.9998344,-875.3616599198,-875.3616599198,-1.9073486E-08,0.0995721817,0.040186062,0,16.37504,-548.7478555255,0.5327160139,0
0.8209426205,25.9795787334,2486.461163044,0.008087955,2.8140903,81,-0.043170318,1,-847.6864757116,0.0021827221,20.7400274277,1.0083251,-847.6864757116,-847.6864757116,4.7683717E-08,0.0991039276,0.043170366,0,16.677996,-551.2200233578,0.9538173227,0
0.8772287539,25.6708424091,2512.1740489006,0.007886036,2.786682,82,-0.08830865,1,-933.4488159997,0.002250433,20.5443508625,0.99885964,-933.4488159997,-933.4488159997,9.536743E-09,0.09770751,0.088308655,0,16.227087,-576.9399795372,0.9694110653,0
0.7897647592,38.2262134552,2550.4418382645,0.009588643,2.7791414,83,-0.054943167,2,-222.4761961544,0.0031754971,33.0624330044,0.99491906,-585.2185610927,-403.8473786236,2.6864065E-08,0.1452121735,0.054943193,181.3711824692,16.105188,-290.6669003228,-0.1481227497,0
0.8578825548,26.7047352791,2577.1877982617,0.009952575,2.7260053,84,-0.09464942,1,-405.4304412054,0.002112627,21.5676510334,0.9756807,-405.4304412054,-405.4304412054,-4.7683715E-09,0.1096208096,0.09464941,0,15.271759,-288.0053469953,0.6762362426,0
0.8530148733,26.1806929111,2603.4140050411,0.0067758006,2.7241385,85,-0.014259381,1,-652.4279253636,0.0021324158,20.9558620453,0.9726108,-652.4279253636,-652.4279253636,-9.536743E-09,0.1043553352,0.014259372,0,15.243277,-432.9993487825,0.7538304684,0
0.8919709157,25.9091176987,2629.3652369976,0.006640753,2.7339313,86,-0.051932022,1,-862.7789833319,0.0022089481,20.714826107,0.97768575,-862.7789833319,-862.7789833319,-2.8610229E-08,0.1033210754,0.051931992,0,15.393284,-554.2991678468,0.8872481089,0
0.7361462868,25.9757122993,2655.3822398186,0.009718275,2.7066782,87,-0.09009427,1,-841.9815827394,0.0021870136,20.9036340714,0.9674986,-841.9815827394,-841.9815827394,-4.2915346E-08,0.1015725136,0.09009422,0,14.979433,-526.9975716336,0.9780716356,0
0.8617356128,26.055300951,2681.4788782597,0.0071963076,2.6654913,88,-0.019623728,1,-543.1726088314,0.0021612644,20.9798483849,0.9495842,-543.1726088314,-543.1726088314,5.7220458E-08,0.1004300117,0.019623786,0,14.3750105,-348.8374322925,0.3701350611,0
0.8478290371,25.8543865681,2707.3863353729,0.009914522,2.6479194,89,-0.047881365,1,-934.0128231203,0.0023243427,20.6797881126,0.94350535,-934.0128231203,-934.0128231203,2.8610229E-08,0.1034276485,0.047881395,0,14.12462,-581.7032958095,0.8256570997,0
0.8590277799,26.807236433,2734.2364366055,0.008279856,2.6467266,90,-0.0704886,1,-336.6857353192,0.0022480488,21.7040364742,0.94363785,-336.6857353192,-336.6857353192,1.9073486E-08,0.116928339,0.070488624,0,14.107782,-247.7997805192,-2.4535555704,0
0.7912744599,31.6078145504,2765.894343853,0.0078473855,2.6755083,91,-0.05627282,2,-357.2657123895,0.0023875237,26.4747545719,0.955829,-375.0789833188,-366.1723478541,-9.169946E-09,0.1101975441,0.056272812,8.9066354647,14.519728,-291.3402829924,0.4585557161,0
0.7069105427,25.7160584927,2791.6525065899,0.0060145645,2.6597095,92,-0.07364982,1,-1234.730552699,0.002146244,20.5028803349,0.952556,-1234.730552699,-1234.730552699,0,0.1032512188,0.07364982,0,14.292136,-744.9567867047,0.9284682521,0
0.8148415424,39.063688755,2830.7566361427,0.0091924155,2.7091618,93,-0.06953799,2,-457.6948667149,0.0032601357,33.86038661,0.97533435,-844.2991057717,-650.9969862433,-2.5096693E-08,0.147233963,0.06953797,193.3021195284,15.016683,-448.8639257779,0.8220350352,0
0.8364728589,25.8355591297,2856.6338131428,0.005547754,2.778193,94,-0.06357161,1,-1045.0869170808,0.0022273064,20.7010953426,1.0042354,-1045.0869170808,-1045.0869170808,-5.7220458E-08,0.1070096493,0.06357155,0,16.08992,-637.1452010301,0.938216049,0
0.8467701014,26.0374693871,2882.7112054825,0.0037728262,2.7434428,95,-0.029953355,1,-658.2378429997,0.0021421909,20.8269162178,0.988348,-658.2378429997,-658.2378429997,-5.7220458E-08,0.1034340858,0.029953297,0,15.540395,-448.1735426829,0.4925433916,0
0.7847149782,31.9976623058,2914.7508590221,0.007970911,2.741558,96,-0.089916654,2,-375.6266054609,0.0024507046,26.8262414932,0.98834115,-496.4354868123,-436.0310461366,5.3477063E-08,0.1134567261,0.089916706,60.4044406757,15.511134,-338.1015764066,0.7810997287,0
